prcanid,rviswom,rvisman,repcan1,goppty,rideo,rproj,repft,aware,repwom,repman,voter
NA,0,0,NA,0.666666686534882,0.5,NA,NA,0.333333343267441,0,1,1
6,0,1,0.300200015306473,0.833333313465118,0.333333343267441,0.133333340287209,0.400000005960464,0.833333313465118,0,1,1
5,0,1,0.272400021553040,0.5,NA,NA,NA,0.333333343267441,0,1,0
5,0,1,0.272400021553040,0.833333313465118,0.5,0.349999994039536,0.699999988079071,0.833333313465118,0,1,1
5,0,1,0.272400021553040,0.833333313465118,NA,NA,0.699999988079071,0.166666671633720,0,1,0
NA,0,1,0.485400021076202,0.333333343267441,0.666666686534882,0,0,0.166666671633720,0,1,0
4,0,1,0.485400021076202,0.833333313465118,0.5,0.5,1,0.666666686534882,0,1,1
NA,0,0,0.313400000333786,0.666666686534882,0.833333313465118,0.416666656732559,0.5,0.5,0,1,1
NA,0,0,0.313400000333786,0.666666686534882,0.666666686534882,NA,NA,0.833333313465118,0,1,1
NA,0,0,NA,0.666666686534882,NA,NA,NA,0.5,0,1,1
NA,0,0,NA,NA,NA,NA,NA,0,0,1,0
5,0,1,0.300200015306473,0.833333313465118,0.333333343267441,NA,NA,0.833333313465118,0,1,0
NA,0,1,0.300200015306473,0.666666686534882,0.5,NA,NA,0.833333313465118,0,1,0
NA,0,1,0.300200015306473,0.833333313465118,0,0,0.5,0.833333313465118,0,1,0
NA,0,1,0.300200015306473,0.833333313465118,0.333333343267441,0.100000008940697,0.300000011920929,1,0,1,0
6,0,1,0.300200015306473,0.833333313465118,0.333333343267441,0.166666671633720,0.5,0.5,0,1,0
5,0,1,NA,0.833333313465118,0.333333343267441,0.25,0.75,0.833333313465118,0,1,1
NA,0,1,0.569700002670288,0.5,NA,NA,0.5,0.833333313465118,0,1,1
3,0,1,0.569700002670288,0.666666686534882,0.833333313465118,0.583333313465118,0.699999988079071,0.666666686534882,0,1,0
NA,0,1,0.569700002670288,0.666666686534882,NA,NA,0.600000023841858,0.666666686534882,0,1,0
6,0,1,0.569700002670288,0.833333313465118,0.5,0.400000005960464,0.800000011920929,0.833333313465118,0,1,1
6,0,1,0.569700002670288,0.833333313465118,0.166666671633720,0.0500000044703484,0.300000011920929,0.666666686534882,0,1,1
NA,1,0,0.295400023460388,0.5,0.166666671633720,NA,NA,0.666666686534882,1,0,0
4,1,0,0.316399991512299,0.666666686534882,0,NA,NA,0.666666686534882,1,0,0
2,0,1,0.294099986553192,NA,NA,NA,1,0,0,1,0
NA,0,1,0.294099986553192,0.333333343267441,NA,NA,NA,0,0,1,0
4,0,1,0.300200015306473,0.666666686534882,0.833333313465118,0.708333313465118,0.850000023841858,0.666666686534882,0,1,1
6,0,1,0.300200015306473,0.333333343267441,NA,NA,0.400000005960464,0.666666686534882,0,1,0
6,0,1,0.311500012874603,0.833333313465118,0.833333313465118,0.833333313465118,1,0.333333343267441,0,1,1
6,0,1,0.311500012874603,0.833333313465118,0.333333343267441,0.0500000044703484,0.150000005960464,0.666666686534882,0,1,1
4,0,1,0.311500012874603,0.833333313465118,NA,NA,0.699999988079071,0.666666686534882,0,1,1
7,0,1,0.311500012874603,1,1,0.699999988079071,0.699999988079071,0.333333343267441,0,1,0
NA,0,1,0.311500012874603,0.166666671633720,0.833333313465118,0.416666656732559,0.5,0.666666686534882,0,1,0
NA,0,1,0.272400021553040,0.833333313465118,NA,NA,NA,0.333333343267441,0,1,0
NA,0,1,0.272400021553040,NA,NA,NA,NA,0.166666671633720,0,1,0
6,0,1,0.272400021553040,0.833333313465118,0.333333343267441,0.133333340287209,0.400000005960464,0.833333313465118,0,1,0
NA,0,1,0.305200010538101,NA,NA,NA,NA,0,0,1,0
6,0,1,0.305200010538101,0.833333313465118,0.166666671633720,0.0666666701436043,0.400000005960464,1,0,1,1
3,0,1,NA,0.333333343267441,0.5,0.300000011920929,0.600000023841858,0.5,0,1,1
4,0,1,NA,0.333333343267441,0.5,0.300000011920929,0.600000023841858,0.666666686534882,0,1,1
NA,1,0,0.533399999141693,0.666666686534882,0.166666671633720,0.100000008940697,0.600000023841858,0.166666671633720,1,0,0
5,1,0,0.533399999141693,0.5,0.166666671633720,0.100000008940697,0.600000023841858,0.5,1,0,1
6,1,0,0.533399999141693,0.833333313465118,0,0,0.400000005960464,0.666666686534882,1,0,1
NA,0,0,0.360200017690659,0.5,NA,NA,NA,0.666666686534882,0,1,1
NA,0,1,0.272400021553040,NA,0.833333313465118,0.25,0.300000011920929,0.5,0,1,0
NA,0,1,0.272400021553040,1,0.5,NA,NA,0.833333313465118,0,1,0
4,0,1,0.272400021553040,0.666666686534882,0.666666686534882,NA,NA,0.833333313465118,0,1,0
6,0,1,0.311500012874603,0.333333343267441,0.5,0.375,0.75,0.333333343267441,0,1,1
NA,0,1,0.305200010538101,NA,NA,NA,0.850000023841858,0.833333313465118,0,1,0
5,0,1,0.414099991321564,0.666666686534882,0.5,0.300000011920929,0.600000023841858,0.5,0,1,0
NA,0,1,0.224599987268448,0.5,0.666666686534882,NA,NA,0.333333343267441,0,1,0
6,0,1,0.224599987268448,0.833333313465118,0.5,0.300000011920929,0.600000023841858,0.666666686534882,0,1,0
6,0,1,0.414099991321564,0.833333313465118,0,0,0.400000005960464,0.666666686534882,0,1,0
6,0,1,0.224599987268448,0.666666686534882,0.5,0.349999994039536,0.699999988079071,0.833333313465118,0,1,0
4,0,1,0.300200015306473,0.5,0.5,0.375,0.75,0.666666686534882,0,1,0
NA,0,1,0.300200015306473,0.666666686534882,0.833333313465118,0.416666656732559,0.5,0.5,0,1,0
1,0,1,0.300200015306473,0.333333343267441,NA,NA,NA,0,0,1,0
6,0,1,0.300200015306473,0.833333313465118,0.5,0.200000002980232,0.400000005960464,1,0,1,1
